,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
20,0.15210535,0.15201582,-26.758263,-26.765112,40.340126,40.34737,-0.05341649,-0.053424314,-0.009253473,-0.009335767,,,,,,,,,,,,,866.0266,866.55664,1384.9415,1394.0865,,,1773.1537,1773.4274,,,2942.1328,2951.0605,,
21,0.13711637,0.1370703,-25.209068,-25.217707,38.009857,38.052464,-0.048922297,-0.04893632,-0.004313639,-0.0044153645,,,,,,,,,,,,,724.2807,724.94147,1529.097,1535.006,,,1668.5165,1667.8981,,,2926.967,2933.7732,,
22,0.1351288,0.13503419,-25.761911,-25.777067,38.533794,38.526943,-0.043712158,-0.04373957,-0.006781217,-0.006777164,,,,,,,,,,,,,539.10223,539.56494,1419.4088,1425.6094,,,1647.9795,1645.9746,,,2752.2988,2760.7317,,
23,0.12734891,0.12732482,-28.284836,-28.28692,40.37813,40.35786,-0.054270748,-0.054319292,-0.006521577,-0.006447566,,,,,,,,,,,,,706.1677,706.8532,1472.2711,1468.317,,,1952.8541,1951.3512,,,3185.1223,3185.741,,
24,0.12414789,0.12413367,-29.394094,-29.39347,43.182602,43.13452,-0.054959167,-0.05500014,-0.0033009676,-0.003198345,,,,,,,,,,,,,935.64575,936.9043,1482.3776,1480.724,,,2070.021,2070.7947,,,3185.6292,3188.826,,
25,0.11519784,0.11520281,-25.995127,-25.992422,39.81427,39.79298,-0.04797621,-0.04803135,-0.0034414728,-0.0033146332,,,,,,,,,,,,,996.53925,999.31177,1593.6266,1592.5406,,,2042.7308,2044.9347,,,3254.3665,3255.1653,,
26,0.11207595,0.11206585,-23.654573,-23.660723,37.558945,37.553516,-0.03736956,-0.037410513,-0.0072109066,-0.0070649334,,,,,,,,,,,,,789.40576,790.20844,1726.5533,1718.3136,,,1769.083,1769.6315,,,2944.5964,2944.5781,,
27,0.10716143,0.107107736,-21.571634,-21.588213,32.86926,32.864136,-0.026403988,-0.02647953,-0.009407175,-0.009379855,,,,,,,,,,,,,579.37836,579.3145,1600.403,1592.0094,,,1642.2661,1641.1046,,,2751.8223,2749.8167,,
28,0.108539164,0.10850815,-23.857834,-23.874437,35.667454,35.674976,-0.043146174,-0.043197233,-0.004375558,-0.0043850373,,,,,,,,,,,,,677.0517,676.0367,1503.5762,1496.187,,,1686.5465,1685.0592,,,2799.765,2797.7341,,
29,0.10667426,0.10664046,-23.950432,-23.965525,36.264053,36.304775,-0.048901454,-0.04894569,0.0020376344,0.001953546,,,,,,,,,,,,,579.75635,579.95294,1313.9711,1315.7051,,,1553.8568,1553.5742,,,2606.019,2604.1724,,
30,0.10979248,0.10974619,-26.85074,-26.85995,42.6102,42.68616,-0.061790574,-0.061795842,0.00180506,0.0017833547,,,,,,,,,,,,,826.4243,826.4995,1315.0944,1318.0725,,,1884.2588,1884.1952,,,3071.805,3072.4512,,
31,0.11224112,0.112170614,-26.249739,-26.257837,41.77064,41.84493,-0.049793404,-0.04974537,0.0038353328,0.0037989516,,,,,,,,,,,,,637.97546,637.6309,1308.6553,1310.1534,,,1767.2026,1767.2198,,,2931.3867,2931.9695,,
32,0.1327231,0.13254237,-26.14913,-26.160248,39.151157,39.19122,-0.04640114,-0.04634062,0.0011119422,0.0011033191,,,,,,,,,,,,,951.6912,951.68164,1193.6066,1193.1898,,,2130.1897,2130.3088,,,3327.1506,3328.326,,
33,0.14283083,0.14268216,-24.347122,-24.359085,35.19342,35.215805,-0.04369989,-0.043635417,-0.0011363067,-0.0011284725,,,,,,,,,,,,,853.1827,853.314,1260.0818,1259.6411,,,1930.2485,1929.9082,,,3049.872,3049.6104,,
34,0.14844684,0.14830524,-23.512512,-23.525808,34.638454,34.638508,-0.04298964,-0.04298156,-0.00051678135,-0.000557275,,,,,,,,,,,,,1022.45953,1021.3455,1376.5602,1372.0905,,,2052.0154,2050.3733,,,3243.1746,3237.575,,
35,0.1345979,0.13453801,-22.281057,-22.306787,33.59425,33.62041,-0.034056336,-0.03406052,-0.00017735774,-0.00023754842,,,,,,,,,,,,,664.73065,665.51544,1609.4205,1599.2773,,,1721.8878,1719.5161,,,2936.7588,2929.1406,,
36,0.12658353,0.12653254,-23.33744,-23.358389,34.19409,34.20345,-0.033624414,-0.033658355,0.0023102418,0.0022446916,,,,,,,,,,,,,673.737,672.9446,1606.2123,1589.7137,,,1714.5582,1711.3203,,,2931.4788,2922.2498,,
37,0.12098118,0.12096191,-25.614424,-25.626207,35.812878,35.867355,-0.047086854,-0.04722323,0.00079226494,0.000834022,,,,,,,,,,,,,827.7585,826.6035,1531.2426,1519.7773,,,1925.7384,1922.7545,,,2878.6394,2844.068,,
38,0.12387922,0.12386312,-27.894342,-27.889322,37.96786,38.01039,-0.05386153,-0.05400005,-0.0014770891,-0.0014404329,,,,,,,,,,,,,1052.305,1049.7423,1531.0521,1528.9681,,,2076.5466,2074.3699,,,2979.6125,2946.4714,,
39,0.12614425,0.12610118,-25.729645,-25.73085,34.47011,34.525646,-0.048618507,-0.048740935,-0.0044491715,-0.0044228123,,,,,,,,,,,,,1036.8059,1035.4905,1559.6611,1559.5977,,,2057.6758,2056.348,,,3013.419,2982.996,,
40,0.12570548,0.12562789,-21.523184,-21.53597,31.171791,31.22399,-0.025363265,-0.025385834,-0.0027605332,-0.0028599733,,,,,,,,,,,,,722.0391,721.35114,1640.3755,1650.4371,,,1687.4229,1687.34,,,2731.8953,2723.9417,,
41,0.12477855,0.12474289,-19.899208,-19.910292,29.586472,29.606047,-0.02652332,-0.026519211,-0.00061742694,-0.00076807867,,,,,,,,,,,,,546.67474,545.4693,1552.9296,1558.6425,,,1557.4581,1557.8228,,,2567.1533,2561.1309,,
42,0.1256786,0.12566335,-19.424791,-19.422577,31.606897,31.611254,-0.024624119,-0.024573276,-0.0008063933,-0.0008767016,,,,,,,,,,,,,543.6137,543.3545,1532.2583,1544.4756,,,1548.1299,1549.2826,,,2552.4846,2548.362,,
43,0.12960304,0.12953164,-23.67866,-23.678194,33.981537,33.967197,-0.041083787,-0.041016202,-0.0018056176,-0.0018014038,,,,,,,,,,,,,715.5323,716.7243,1449.0128,1451.4738,,,1730.5244,1731.8568,,,2763.5725,2768.1628,,
