start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:04.210000,0 days 00:00:04.230000,0.300856,-19.381744,25.750778,-0.09193542,-0.007766034,13.44767,0.025047496,3.6759822,-7.491892,67.78056,20.394215,934.91754,1264.7606,-18.180857,2145.4705,-25.366257,3058.202,-21.040113
0 days 00:00:04.220000,0 days 00:00:04.240000,0.30451214,-18.09532,24.765303,-0.07895481,-0.012236604,13.630616,0.025047496,3.6759822,-7.8625007,3.134343,19.267439,974.895,1252.0353,-20.073195,2257.4558,-24.965525,2868.2288,-19.684637
0 days 00:00:04.230000,0 days 00:00:04.250000,0.31066212,-16.849882,24.122316,-0.07114152,-0.018787747,13.6897,0.025047496,3.6759822,-8.965886,3.5704405,20.091082,644.89496,1355.309,-14.838879,1962.8685,-23.828222,2593.2878,-20.50631
0 days 00:00:04.240000,0 days 00:00:04.260000,0.3323053,-13.599378,19.48156,-0.05093045,-0.019055445,13.145917,0.025047496,3.6759822,-11.054145,6.21127,22.029001,363.51175,1353.412,-9.482764,1624.4049,-25.375246,2313.2078,-23.832077
0 days 00:00:04.250000,0 days 00:00:04.270000,0.35186198,-12.637905,17.987083,-0.046220303,-0.018459009,12.628034,0.025047496,3.6759822,-12.034195,8.758658,23.290716,355.89453,1311.8679,-10.4079895,1612.8037,-26.37314,2176.0752,-25.783659
0 days 00:00:04.260000,0 days 00:00:04.280000,0.35220134,-11.775154,15.438728,-0.045131195,-0.01456121,12.239083,0.025047496,3.6759822,-9.509986,10.372546,27.766737,355.26413,1304.193,-11.248768,1546.5741,-28.796728,2249.1516,-30.80803
0 days 00:00:04.270000,0 days 00:00:04.290000,0.33837852,-13.602066,17.487452,-0.055848103,-0.01754076,12.389846,0.025047496,3.6759822,-6.5530534,11.207218,31.039839,364.62393,1229.0558,-12.284489,1552.2726,-28.280207,2384.9978,-31.105652
0 days 00:00:04.280000,0 days 00:00:04.300000,0.32889354,-14.805066,18.453539,-0.057917755,-0.019016707,13.026924,0.04977675,2.456317,-6.8863616,12.130557,33.20682,376.41214,1191.0804,-10.418834,1506.9664,-26.601038,2608.714,-30.561785
0 days 00:00:04.290000,0 days 00:00:04.310000,0.33757934,-16.733614,21.044271,-0.06658307,-0.017726915,13.809838,0.051057737,1.2366519,-7.4803014,13.566852,30.63327,374.47598,1174.2968,-9.259843,1494.0302,-23.878996,2644.588,-26.315193
0 days 00:00:04.300000,0 days 00:00:04.320000,0.35722613,-15.555744,20.108198,-0.05881374,-0.011865213,14.094158,0.052338716,0.016986923,-7.104172,14.954968,28.171041,360.11533,1177.0958,-9.2082405,1478.8892,-21.664932,2660.0403,-24.000418
