,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,spectralFlux_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc1_sma3,mfcc2_sma3,mfcc2_sma3,mfcc3_sma3,mfcc3_sma3,mfcc4_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
11,0.13038383,0.13039087,-24.717688,-24.714302,37.567,37.543407,-0.04117507,-0.041222665,-0.012618058,-0.012533352,0.08835054,0.08838266,29.284918,29.445457,16.829283,16.562096,9.447839,9.787887,13.144149,12.740799,,,,,,,,,,,,,707.5904,707.658,1531.1708,1531.402,,,1689.9008,1688.6035,1012.7461,1011.97577,,,2962.4753,2961.3723,798.3304,794.10645,,
12,0.1268122,0.12685655,-24.589348,-24.580042,35.449753,35.429157,-0.051731735,-0.0517763,-0.0076772776,-0.0076372437,0.10288701,0.10294688,29.327967,29.493937,17.269836,17.00163,14.258965,14.550504,19.726315,19.372873,,,,,,,,,,,,,780.5256,781.868,1699.4989,1697.9155,,,1712.4408,1711.6398,938.76227,938.8394,,,3000.2546,2998.804,765.65533,762.95435,,
13,0.12997703,0.1300229,-25.846872,-25.837593,37.327763,37.29862,-0.051719412,-0.051785138,-0.005772881,-0.0057388633,0.11494628,0.114993714,30.727068,30.884329,18.542133,18.287436,16.601103,16.832495,18.67749,18.389597,,,,,,,,,,,,,891.88403,892.91895,1765.6608,1763.2164,,,1736.2189,1737.2169,1152.7311,1153.2345,,,3025.2087,3024.6804,816.9492,817.6157,,
14,0.14014076,0.14017224,-26.956175,-26.947615,39.226837,39.164394,-0.05220908,-0.052216742,-0.0072911563,-0.0073137074,0.09848861,0.09854529,31.461563,31.608908,18.975368,18.747847,16.90386,17.093433,17.038929,16.798037,,,,,,,,,,,,,977.44476,978.603,1544.5057,1540.543,,,1966.1754,1965.7028,1541.8204,1549.8066,,,3003.4055,3002.5305,930.5996,928.53125,,
15,0.177185,0.17715462,-26.019094,-26.017355,40.403957,40.361706,-0.051367123,-0.051363185,-0.0071014375,-0.0071128174,0.1098629,0.109932505,31.803782,31.958488,18.763107,18.514683,14.811032,15.109212,12.096425,11.726726,,,,,,,,,,,,,1059.3433,1059.3289,1318.2877,1316.3368,,,2099.3252,2098.7512,1612.6515,1620.8224,,,3008.0618,3007.128,1045.9911,1042.578,,
16,0.23610057,0.23599537,-22.438494,-22.43821,38.27382,38.270863,-0.058913082,-0.05890918,-0.0011257896,-0.0011078143,0.16007803,0.16015369,28.640732,28.798767,12.869372,12.620441,13.170415,13.491565,11.031436,10.623124,,,,,,,,,,,,,1025.6979,1026.0149,1069.3085,1069.2748,,,2173.086,2171.0754,1456.42,1464.522,,,2995.3848,2994.4246,1008.43134,1002.9362,,
17,0.27090988,0.270748,-21.063494,-21.066229,37.387222,37.406338,-0.07222981,-0.07224932,-0.0011513687,-0.0011383318,0.17816937,0.17826037,28.5338,28.709051,7.7930484,7.512411,11.982457,12.3661585,12.16532,11.681996,,,,,,,,,,,,,941.44824,941.47296,1030.6683,1030.4976,,,2003.1782,2003.4463,991.9966,992.2475,,,2998.957,2998.8718,876.76465,875.999,,
18,0.24978487,0.24960494,-23.654715,-23.659082,39.90462,39.90212,-0.07680564,-0.07684204,-0.005057369,-0.005019402,0.2377193,0.23784125,28.821503,29.006723,7.6894035,7.3877296,9.925214,10.337257,15.093025,14.590606,,,,,,,,,,,,,884.4471,884.43427,1052.3549,1052.1896,,,1909.3076,1909.4879,913.4932,913.14105,,,2979.963,2979.9778,712.586,712.85614,,
19,0.19088268,0.19078,-26.274046,-26.277288,40.361515,40.376453,-0.07128421,-0.07131084,-0.010535136,-0.010567777,0.20684321,0.20698287,29.665232,29.838728,13.569084,13.292329,10.731983,11.097107,15.98803,15.510921,,,,,,,,,,,,,902.94745,902.97656,1260.5619,1260.0345,,,1837.0575,1837.3408,1009.58496,1009.75946,,,3013.7236,3014.2957,811.1486,811.28815,,
20,0.15210535,0.15201582,-26.758263,-26.765112,40.340126,40.34737,-0.05341649,-0.053424314,-0.009253473,-0.009335767,0.20546363,0.2055931,27.679758,27.840437,18.829903,18.590212,12.158114,12.513313,16.502005,16.040918,,,,,,,,,,,,,866.0266,866.55664,1384.9415,1394.0865,,,1773.1537,1773.4274,1029.9696,1033.8524,,,2942.1328,2951.0605,867.8987,876.8,,
21,0.13711637,0.1370703,-25.209068,-25.217707,38.009857,38.052464,-0.048922297,-0.04893632,-0.004313639,-0.0044153645,0.16105264,0.16120428,25.086899,25.215357,18.275198,18.07532,13.612579,13.932583,17.51312,17.094488,,,,,,,,,,,,,724.2807,724.94147,1529.097,1535.006,,,1668.5165,1667.8981,1081.4889,1084.1921,,,2926.967,2933.7732,1001.0581,1010.7277,,
22,0.1351288,0.13503419,-25.761911,-25.777067,38.533794,38.526943,-0.043712158,-0.04373957,-0.006781217,-0.006777164,0.10999481,0.11010886,25.391031,25.503647,18.147177,17.97864,12.424455,12.721436,12.563844,12.214173,,,,,,,,,,,,,539.10223,539.56494,1419.4088,1425.6094,,,1647.9795,1645.9746,1071.4454,1072.2246,,,2752.2988,2760.7317,1204.422,1212.0576,,
23,0.12734891,0.12732482,-28.284836,-28.28692,40.37813,40.35786,-0.054270748,-0.054319292,-0.006521577,-0.006447566,0.09687775,0.09695741,25.723536,25.806648,19.250826,19.086874,12.941907,13.189117,10.959736,10.689448,,,,,,,,,,,,,706.1677,706.8532,1472.2711,1468.317,,,1952.8541,1951.3512,1154.3114,1149.3936,,,3185.1223,3185.741,1329.856,1326.6875,,
