file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.880000,0 days 00:00:02.900000,0.3595481,-16.246511,23.17246,0.0053531,-0.012049913,0.2561209,25.29522,11.320343,18.987854,13.0323715,29.4606,0.34566176,3.001396,4.1754794,7.233391,21.320417,382.77097,1661.4359,7.0419846,1489.4912,807.2622,-23.15355,2568.576,760.0815,-15.912797
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.890000,0 days 00:00:02.910000,0.48538637,-14.449814,18.387173,0.01397699,-0.019729959,0.32347694,25.495417,7.640597,22.82109,3.9734476,33.62502,0.6728309,3.377682,7.3791833,8.857066,24.61355,456.94727,1668.7567,5.1115294,1629.8405,640.0083,-23.691849,2731.411,661.0339,-16.314264
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.900000,0 days 00:00:02.920000,0.60801697,-16.085659,18.38148,0.009369358,-0.03266665,0.3548603,26.998688,6.9733467,25.698769,-8.836153,33.713043,0.6705358,2.9121516,7.954784,9.207523,23.436104,556.9443,1200.497,2.6874774,1755.6422,476.79684,-24.177801,2800.7324,604.2886,-14.60835
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.910000,0 days 00:00:02.930000,0.6656957,-18.074394,21.065056,0.031361368,-0.03642825,0.34800157,29.361307,7.293406,24.878218,-15.2515745,33.775936,0.3380823,1.9774507,7.8337026,8.775044,25.416512,669.4922,1287.0579,-6.328199,1877.1417,447.4006,-20.21289,2930.2097,597.55963,-16.301792
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.920000,0 days 00:00:02.940000,0.6920156,-19.25953,22.25727,0.044766247,-0.03497795,0.28697675,30.536886,8.786061,25.654228,-16.966276,33.805115,0.00813374,0.92373353,7.6114783,8.103645,28.456118,721.15717,1268.1796,-12.568073,1945.4784,432.96326,-16.685863,3014.1394,622.4914,-19.326502
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.930000,0 days 00:00:02.950000,0.69692034,-19.631392,21.505838,0.046986464,-0.0357587,0.26626804,30.282547,11.174111,26.751364,-18.004341,33.84071,0.0068014353,0.8029118,7.0398407,7.539889,32.214497,727.79987,1194.9353,-12.55878,1978.8485,359.26123,-13.231178,3073.5176,599.84174,-23.639343
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.940000,0 days 00:00:02.960000,0.70348567,-19.194948,20.776749,0.022616146,-0.035053268,0.28377065,29.76545,12.247371,26.442825,-17.220804,33.876236,0.008606051,0.6353395,5.421356,6.8053436,32.54647,703.00024,1142.5371,-6.8001704,1981.2603,303.1443,-14.594299,3063.3743,540.29785,-25.615128
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.950000,0 days 00:00:02.970000,0.6599976,-19.581549,21.36978,0.029394276,-0.03720412,0.33429205,28.107317,13.197098,23.451925,-17.173063,33.894165,0.007831901,0.6566012,4.530845,6.4334826,32.808018,702.7504,1146.2965,-67.3446,1979.6187,301.7915,-77.23051,3063.194,589.80554,-84.92762
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.960000,0 days 00:00:02.980000,0.59199554,-20.112999,21.621897,0.009475741,-0.033162255,0.42327467,28.682442,15.332753,19.392647,-9.877782,0.0,0.0,0.0,0.0,0.0,0.0,694.31757,1175.9442,-134.46156,1972.0786,395.92062,-139.4007,3040.0515,608.2806,-143.51534
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:02.970000,0 days 00:00:02.990000,0.4935929,-19.39927,20.7014,0.0004172946,-0.033308987,0.44442904,24.416922,19.267693,12.272305,-1.170278,0.0,0.0,0.0,0.0,0.0,0.0,628.0263,1257.7543,-201.0,1750.0138,1061.1683,-201.0,2705.7517,640.05316,-201.0
