start,end,F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,logHNR_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband250-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralCentroid_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_psySharpness_sma_de,pcm_fftMag_spectralHarmonicity_sma_de,mfcc_sma_de[1],mfcc_sma_de[2],mfcc_sma_de[3],mfcc_sma_de[4],mfcc_sma_de[5],mfcc_sma_de[6],mfcc_sma_de[7],mfcc_sma_de[8],mfcc_sma_de[9],mfcc_sma_de[10],mfcc_sma_de[11],mfcc_sma_de[12],mfcc_sma_de[13],mfcc_sma_de[14]
0 days 00:00:04.510000,0 days 00:00:04.570000,0.0042899526,8.251014e-06,5.4461663e-05,2.0635147e-05,1.108625e-05,0.0004501704,0.0054155095,0.0041145324,0.00061095314,-0.0021667925,0.005022151,0.00881533,-0.01658915,0.013414765,0.052511413,0.022736024,0.06477781,0.059865676,0.060869526,-0.008806562,-0.04533764,0.008167815,0.018726671,-0.04315417,-0.022589862,-0.011557412,-0.012854457,-0.04470569,-0.035339236,-0.02210955,0.022716438,-0.0021837472,0.020345468,0.007651222,0.0076680006,-0.0010831893,0.00013488473,1.9885775e-07,-4.3066406,-8.613281,1.4355469,-14.355469,0.014558922,-18.24938,-0.10316186,-147950.53,1.4564655,50.960793,-0.00045073483,-0.013746342,0.00011962214,1.0284067,0.59176224,-1.363177,-0.47347012,-0.7439747,-1.1460186,2.3273401,1.4738292,2.8233535,0.13547054,-0.50755376,0.8318962,2.1542192,0.19934146
0 days 00:00:04.520000,0 days 00:00:04.580000,0.00064651214,9.226041e-06,4.1818308e-05,2.7621056e-05,2.4198018e-05,0.00055733323,0.0011170506,0.0069512306,0.0005486496,-0.0021541952,0.0067776144,0.010475501,-0.01410121,0.006675422,0.062397033,0.012121612,0.08476414,0.050938893,0.051506877,-0.033478152,-0.036714673,0.014411318,0.03197825,-0.024822772,-0.02398852,-0.013609802,-0.0147694,-0.031587563,-0.014785325,-0.024535507,0.019038552,0.0028945804,0.02695772,0.018396031,0.016326064,-0.0025346607,0.0002187152,-8.391595e-06,-4.3066406,-7.1777344,2.8710938,-60.29297,0.014587775,-24.820509,-0.1558265,-148607.75,1.8074253,70.03245,-0.0004523158,-0.02013571,0.00023589194,0.26313418,1.1660897,0.54359984,0.9643799,-0.079558015,-1.5309353,-1.066075,0.17881298,2.5402122,-0.90091074,0.6264668,-0.55336577,-0.014043832,1.2200563
0 days 00:00:04.530000,0 days 00:00:04.590000,-0.00078518403,8.7113347e-07,5.4768875e-06,1.9004116e-05,5.1618896e-05,0.0002592095,-0.004333189,0.0030222,0.00038433913,-0.00170068,0.0077343555,0.010489762,-0.0022835315,0.007277834,0.049227007,-0.02140491,0.05910057,-0.009938752,-0.024960052,-0.05326427,-0.010615396,-0.0037344932,0.026671242,-0.0029058694,-0.037444998,-0.010572326,-0.017263293,-0.01114074,0.024658184,-0.0068030534,0.0061662914,0.01604355,0.028537292,0.028151881,0.024837682,0.0020138056,2.9342122e-05,-1.03354305e-05,-2.8710938,-2.8710938,-12.919922,-74.64844,0.005462187,-28.145777,-0.19956493,-129621.95,1.9193516,79.8737,-0.00042154844,-0.024532748,0.00025016803,-0.41411972,1.236036,1.885463,2.0884626,1.6776222,0.26584107,-2.5783818,-0.4954196,1.0005916,-0.84851646,1.0315037,-1.3527969,-1.2867184,0.86385095
0 days 00:00:04.540000,0 days 00:00:04.600000,-0.0030785927,-7.257887e-06,-2.9275565e-05,4.7660296e-06,8.4837244e-05,0.00051266036,-0.0075953947,-0.004718828,0.00018918756,-0.0011589822,0.008865727,0.012195503,0.008033818,0.0032130599,-0.0008317471,-0.06252275,-0.0013405799,-0.072780535,-0.09702951,-0.059949588,0.015676105,-0.039701365,0.0061473968,0.020892024,-0.047890365,-0.005502212,-0.009460771,0.0072627305,0.057061754,0.021065896,-0.0017567336,0.026273947,0.02237162,0.031190623,0.02901223,0.006814095,-0.00032078073,-1.55052e-05,0.0,0.0,-28.710938,-78.95508,-0.0023950718,-28.212692,-0.22017352,-113278.44,1.7849413,75.20085,-0.0003449351,-0.02560696,-4.3889577e-05,-0.735256,0.6689388,2.1131954,2.3866215,3.033546,2.4463143,-0.15877196,0.5002767,-0.28804055,-1.5932267,-0.061791785,-1.2452929,-0.9147893,-0.45609656
0 days 00:00:04.550000,0 days 00:00:04.610000,-0.005432267,-1.1008381e-05,-3.855074e-05,-1.7314364e-05,9.968299e-05,0.00023152553,-0.008981312,-0.012048465,7.98801e-05,-0.0003653316,0.0077728108,0.0099837305,0.0068486305,-0.01369437,-0.067869455,-0.085745074,-0.061097134,-0.0878436,-0.09824447,-0.050897013,0.021341313,-0.06511025,-0.021126818,0.030010987,-0.051806103,-0.010060668,0.008775616,0.0100101475,0.062300194,0.039529614,0.005742383,0.024953205,0.013520497,0.024607915,0.027553212,0.0072839796,-0.0005186542,-1.2640606e-05,0.0,2.8710938,-25.839844,-35.88867,-0.0083197905,-13.460017,-0.14462876,-33495.383,0.51517373,19.219494,5.8613623e-05,-0.013450121,-0.00012455309,-0.8128964,-0.24543257,0.60761845,1.2122477,3.2459533,3.5029755,2.3930283,0.45183372,-1.4526917,-1.3877802,-1.1957967,-0.78336483,0.1075834,-1.659713
0 days 00:00:04.560000,0 days 00:00:04.620000,-0.008022618,-1.0784232e-05,-2.21973e-05,-3.2568165e-05,5.4268574e-05,6.692183e-05,-0.0058141053,-0.013878358,5.2689204e-05,0.00042831915,0.004480547,0.006414351,-0.00076993107,-0.035260074,-0.11018033,-0.07408743,-0.08729887,-0.057397317,-0.04098933,-0.036628235,0.0020632267,-0.06286081,-0.044668328,0.03316281,-0.041994713,-0.010000276,0.033247888,0.0019010901,0.029544067,0.03758342,0.022022743,0.020949388,0.008960461,0.01432212,0.023210168,0.0034357845,-0.00036369875,-1.000505e-05,2.8710938,7.1777344,-14.355469,-15.791016,-0.008322148,-1.406723,-0.050921656,5516.2437,-0.39345893,-23.779028,0.00030903087,-0.0017790154,5.1234336e-05,-0.46473733,-0.409918,-0.15519121,0.54510576,1.7177614,2.234405,3.603054,-0.49029875,-1.5881126,-0.63222903,-1.8021342,-0.5533353,0.44495764,-2.3758795
0 days 00:00:04.570000,0 days 00:00:04.630000,-0.008359665,-5.739341e-06,-9.989058e-06,-2.1377622e-05,-2.144663e-05,-0.00015665246,-0.0030525862,-0.011106539,0.00023227297,0.00122197,-0.0005183503,0.0013752312,-0.0043844553,-0.037538536,-0.107388,-0.033878136,-0.08431412,-0.020914357,0.014972871,-0.02919891,-0.026530707,-0.04300096,-0.0604916,0.026184332,-0.021385645,0.002741301,0.03971523,-0.004689467,-0.0053751944,0.025935447,0.033227373,0.016005814,0.007938409,0.0071584224,0.016666615,-0.0010826081,0.00015728438,-1.41248065e-05,1.4355469,5.7421875,1.4355469,10.048828,-0.004798467,4.853911,0.036247157,16816.213,-0.083535954,2.0108428,0.00028317663,0.0047509773,5.3789852e-05,-0.04816265,0.105550386,0.38721547,-0.34763128,-0.32520026,0.07323208,0.94906867,-1.3114041,-1.7238419,0.31331414,-0.18447468,-1.0339663,0.14503506,-0.94580203
0 days 00:00:04.580000,0 days 00:00:04.640000,-0.00579303,-1.2688553e-06,-1.6702539e-06,-8.6203937e-07,-9.028729e-05,-7.094925e-05,0.020119946,0.0052264156,0.00043348185,0.0020030239,-0.00427655,-0.0023227842,0.005070561,-0.01008482,-0.054321162,0.024084698,-0.055667054,-0.011258632,0.024499834,-0.021703254,-0.0424153,-0.010953451,-0.050816692,0.03433708,0.02205143,0.055723537,0.048440315,0.017612481,0.0058708666,0.039927326,0.051425744,0.027900904,0.016663253,0.00996204,0.0142607335,0.0018763125,0.0012328489,0.00020288516,0.0,8.613281,22.96875,78.95508,0.00050772354,18.760626,0.15450223,14578.31,-0.029581834,23.400702,-0.00017487994,0.015086798,0.00030316337,-0.19619521,0.0646945,2.3399334,-1.1211684,-3.2449946,-3.5718887,-1.7430992,-0.731263,-0.8187358,1.8711735,1.201777,-0.7281201,-0.48760548,-0.0782809
0 days 00:00:04.590000,0 days 00:00:04.650000,-0.0024684435,3.6335798e-06,0.0,2.808071e-05,-0.00010191586,0.00016046547,0.040521003,0.043744255,0.00038243365,0.0027084914,-0.0045753135,-0.0042229565,0.028275713,0.033010334,0.027614832,0.09275132,-0.008047605,-0.01894347,-0.008908808,-0.01929456,-0.035874523,0.021395242,0.0068345307,0.08521153,0.11513783,0.15730648,0.08686043,0.09871278,0.09625455,0.09245111,0.11134639,0.08327437,0.039654143,0.026478672,0.021433676,0.013214037,0.0019874559,0.0003454974,-4.3066406,4.3066406,41.63086,126.328125,0.0061563337,30.59641,0.24346617,20661.537,-0.51761836,18.035763,-0.0004778117,0.023349615,0.0004987451,-0.9807669,-0.64809734,4.025014,-2.3845534,-5.0080056,-6.620897,-2.6311269,0.7617317,0.10919289,2.280878,1.4009566,0.052907754,-1.8417966,0.30180985
0 days 00:00:04.600000,0 days 00:00:04.660000,0.00026907524,6.3515504e-06,7.2950274e-07,9.405872e-06,-6.370893e-05,-0.00062887475,0.049607374,0.09723091,9.172429e-05,0.0035525318,-0.0040008277,-0.009247899,0.054928683,0.069730446,0.106718995,0.16612814,0.054921396,-0.019252067,-0.04088818,-0.0030679344,-0.0013040543,0.04769801,0.09719386,0.15855004,0.22750588,0.26563263,0.15122633,0.21872735,0.24122365,0.15905848,0.21328267,0.18023698,0.0781748,0.05007575,0.038393486,0.026356269,0.0024302416,0.00038475692,-4.3066406,12.919922,64.59961,156.47461,0.0047494844,45.13211,0.3288481,42384.63,-1.8331211,-46.39329,-0.00032487314,0.03705557,0.0009866623,-1.3934753,-1.338439,3.0166154,-4.01317,-4.7266946,-7.3356566,-2.4094234,0.22711702,0.9322478,1.8834385,0.737342,0.6730742,-3.3072891,-0.45436916
