start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:00.100000,0 days 00:00:00.120000,0.13218248,-24.794752,37.384037,-0.039408356,-0.019942088,0.08313575,28.944754,15.788545,7.26072,8.7822695,0.0,0.0,0.0,0.0,0.0,0.0,557.57556,1300.4481,-201.0,1664.2555,926.22784,-201.0,2905.6301,883.03815,-201.0
0 days 00:00:00.110000,0 days 00:00:00.130000,0.13039087,-24.714302,37.543407,-0.041222665,-0.012533352,0.08838266,29.445457,16.562096,9.787887,12.740799,0.0,0.0,0.0,0.0,0.0,0.0,707.658,1531.402,-201.0,1688.6035,1011.97577,-201.0,2961.3723,794.10645,-201.0
0 days 00:00:00.120000,0 days 00:00:00.140000,0.12685655,-24.580042,35.429157,-0.0517763,-0.0076372437,0.10294688,29.493937,17.00163,14.550504,19.372873,0.0,0.0,0.0,0.0,0.0,0.0,781.868,1697.9155,-201.0,1711.6398,938.8394,-201.0,2998.804,762.95435,-201.0
0 days 00:00:00.130000,0 days 00:00:00.150000,0.1300229,-25.837593,37.29862,-0.051785138,-0.0057388633,0.114993714,30.884329,18.287436,16.832495,18.389597,0.0,0.0,0.0,0.0,0.0,0.0,892.91895,1763.2164,-201.0,1737.2169,1153.2345,-201.0,3024.6804,817.6157,-201.0
0 days 00:00:00.140000,0 days 00:00:00.160000,0.14017224,-26.947615,39.164394,-0.052216742,-0.0073137074,0.09854529,31.608908,18.747847,17.093433,16.798037,0.0,0.0,0.0,0.0,0.0,0.0,978.603,1540.543,-201.0,1965.7028,1549.8066,-201.0,3002.5305,928.53125,-201.0
0 days 00:00:00.150000,0 days 00:00:00.170000,0.17715462,-26.017355,40.361706,-0.051363185,-0.0071128174,0.109932505,31.958488,18.514683,15.109212,11.726726,0.0,0.0,0.0,0.0,0.0,0.0,1059.3289,1316.3368,-201.0,2098.7512,1620.8224,-201.0,3007.128,1042.578,-201.0
0 days 00:00:00.160000,0 days 00:00:00.180000,0.23599537,-22.43821,38.270863,-0.05890918,-0.0011078143,0.16015369,28.798767,12.620441,13.491565,10.623124,0.0,0.0,0.0,0.0,0.0,0.0,1026.0149,1069.2748,-201.0,2171.0754,1464.522,-201.0,2994.4246,1002.9362,-201.0
0 days 00:00:00.170000,0 days 00:00:00.190000,0.270748,-21.066229,37.406338,-0.07224932,-0.0011383318,0.17826037,28.709051,7.512411,12.3661585,11.681996,0.0,0.0,0.0,0.0,0.0,0.0,941.47296,1030.4976,-201.0,2003.4463,992.2475,-201.0,2998.8718,875.999,-201.0
0 days 00:00:00.180000,0 days 00:00:00.200000,0.24960494,-23.659082,39.90212,-0.07684204,-0.005019402,0.23784125,29.006723,7.3877296,10.337257,14.590606,0.0,0.0,0.0,0.0,0.0,0.0,884.43427,1052.1896,-201.0,1909.4879,913.14105,-201.0,2979.9778,712.85614,-201.0
0 days 00:00:00.190000,0 days 00:00:00.210000,0.19078,-26.277288,40.376453,-0.07131084,-0.010567777,0.20698287,29.838728,13.292329,11.097107,15.510921,0.0,0.0,0.0,0.0,0.0,0.0,902.97656,1260.0345,-201.0,1837.3408,1009.75946,-201.0,3014.2957,811.28815,-201.0
0 days 00:00:00.200000,0 days 00:00:00.220000,0.15201582,-26.765112,40.34737,-0.053424314,-0.009335767,0.2055931,27.840437,18.590212,12.513313,16.040918,0.0,0.0,0.0,0.0,0.0,0.0,866.55664,1394.0865,-201.0,1773.4274,1033.8524,-201.0,2951.0605,876.8,-201.0
0 days 00:00:00.210000,0 days 00:00:00.230000,0.1370703,-25.217707,38.052464,-0.04893632,-0.0044153645,0.16120428,25.215357,18.07532,13.932583,17.094488,0.0,0.0,0.0,0.0,0.0,0.0,724.94147,1535.006,-201.0,1667.8981,1084.1921,-201.0,2933.7732,1010.7277,-201.0
0 days 00:00:00.220000,0 days 00:00:00.240000,0.13503419,-25.777067,38.526943,-0.04373957,-0.006777164,0.11010886,25.503647,17.97864,12.721436,12.214173,0.0,0.0,0.0,0.0,0.0,0.0,539.56494,1425.6094,-201.0,1645.9746,1072.2246,-201.0,2760.7317,1212.0576,-201.0
0 days 00:00:00.230000,0 days 00:00:00.250000,0.12732482,-28.28692,40.35786,-0.054319292,-0.006447566,0.09695741,25.806648,19.086874,13.189117,10.689448,0.0,0.0,0.0,0.0,0.0,0.0,706.8532,1468.317,-201.0,1951.3512,1149.3936,-201.0,3185.741,1326.6875,-201.0
0 days 00:00:00.240000,0 days 00:00:00.260000,0.12413367,-29.39347,43.13452,-0.05500014,-0.003198345,0.060605183,26.706682,20.16395,14.027997,9.220872,0.0,0.0,0.0,0.0,0.0,0.0,936.9043,1480.724,-201.0,2070.7947,1355.7887,-201.0,3188.826,1364.4657,-201.0
0 days 00:00:00.250000,0 days 00:00:00.270000,0.11520281,-25.992422,39.79298,-0.04803135,-0.0033146332,0.10443469,25.972275,18.615866,11.648594,12.74649,0.0,0.0,0.0,0.0,0.0,0.0,999.31177,1592.5406,-201.0,2044.9347,1247.6537,-201.0,3255.1653,1049.4198,-201.0
0 days 00:00:00.260000,0 days 00:00:00.280000,0.11206585,-23.660723,37.553516,-0.037410513,-0.0070649334,0.10192532,26.966644,18.071947,10.129378,12.924592,0.0,0.0,0.0,0.0,0.0,0.0,790.20844,1718.3136,-201.0,1769.6315,1170.0925,-201.0,2944.5781,764.07587,-201.0
0 days 00:00:00.270000,0 days 00:00:00.290000,0.107107736,-21.588213,32.864136,-0.02647953,-0.009379855,0.10034883,27.138847,17.515755,9.268034,13.3378,0.0,0.0,0.0,0.0,0.0,0.0,579.3145,1592.0094,-201.0,1641.1046,1005.1248,-201.0,2749.8167,824.8786,-201.0
0 days 00:00:00.280000,0 days 00:00:00.300000,0.10850815,-23.874437,35.674976,-0.043197233,-0.0043850373,0.06479207,28.159653,16.359306,10.8447485,15.025582,0.0,0.0,0.0,0.0,0.0,0.0,676.0367,1496.187,-201.0,1685.0592,1027.9257,-201.0,2797.7341,779.73584,-201.0
0 days 00:00:00.290000,0 days 00:00:00.310000,0.10664046,-23.965525,36.304775,-0.04894569,0.001953546,0.06733569,26.489428,14.257355,10.5441065,15.244762,0.0,0.0,0.0,0.0,0.0,0.0,579.95294,1315.7051,-201.0,1553.5742,1019.066,-201.0,2604.1724,915.001,-201.0
0 days 00:00:00.300000,0 days 00:00:00.320000,0.10974619,-26.85995,42.68616,-0.061795842,0.0017833547,0.105822586,27.484556,14.600125,9.48478,18.67401,0.0,0.0,0.0,0.0,0.0,0.0,826.4995,1318.0725,-201.0,1884.1952,1048.3575,-201.0,3072.4512,925.623,-201.0
0 days 00:00:00.310000,0 days 00:00:00.330000,0.112170614,-26.257837,41.84493,-0.04974537,0.0037989516,0.13337158,25.59401,13.650517,13.350978,20.388342,0.0,0.0,0.0,0.0,0.0,0.0,637.6309,1310.1534,-201.0,1767.2198,958.11774,-201.0,2931.9695,985.863,-201.0
0 days 00:00:00.320000,0 days 00:00:00.340000,0.13254237,-26.160248,39.19122,-0.04634062,0.0011033191,0.16052383,23.031225,17.728533,15.1591215,22.530115,0.0,0.0,0.0,0.0,0.0,0.0,951.68164,1193.1898,-201.0,2130.3088,875.6828,-201.0,3328.326,951.94775,-201.0
0 days 00:00:00.330000,0 days 00:00:00.350000,0.14268216,-24.359085,35.215805,-0.043635417,-0.0011284725,0.12661764,22.788368,18.894197,16.759123,19.079126,0.0,0.0,0.0,0.0,0.0,0.0,853.314,1259.6411,-201.0,1929.9082,859.4183,-201.0,3049.6104,824.7922,-201.0
0 days 00:00:00.340000,0 days 00:00:00.360000,0.14830524,-23.525808,34.638508,-0.04298156,-0.000557275,0.11279979,24.15243,19.258242,11.498168,17.152441,0.0,0.0,0.0,0.0,0.0,0.0,1021.3455,1372.0905,-201.0,2050.3733,983.34015,-201.0,3237.575,944.7176,-201.0
0 days 00:00:00.350000,0 days 00:00:00.370000,0.13453801,-22.306787,33.62041,-0.03406052,-0.00023754842,0.08945274,27.573053,16.64786,10.491668,13.210181,0.0,0.0,0.0,0.0,0.0,0.0,665.51544,1599.2773,-201.0,1719.5161,1120.6686,-201.0,2929.1406,1009.14935,-201.0
0 days 00:00:00.360000,0 days 00:00:00.380000,0.12653254,-23.358389,34.20345,-0.033658355,0.0022446916,0.11139316,27.1866,17.326338,11.818481,13.583969,0.0,0.0,0.0,0.0,0.0,0.0,672.9446,1589.7137,-201.0,1711.3203,1140.7943,-201.0,2922.2498,911.2759,-201.0
0 days 00:00:00.370000,0 days 00:00:00.390000,0.12096191,-25.626207,35.867355,-0.04722323,0.000834022,0.09324203,26.879486,20.278559,14.966026,16.874779,0.0,0.0,0.0,0.0,0.0,0.0,826.6035,1519.7773,-201.0,1922.7545,1499.8477,-201.0,2844.068,1366.3418,-201.0
0 days 00:00:00.380000,0 days 00:00:00.400000,0.12386312,-27.889322,38.01039,-0.05400005,-0.0014404329,0.09508593,27.953056,22.18762,16.084291,19.37597,0.0,0.0,0.0,0.0,0.0,0.0,1049.7423,1528.9681,-201.0,2074.3699,1507.5758,-201.0,2946.4714,1394.8724,-201.0
0 days 00:00:00.390000,0 days 00:00:00.410000,0.12610118,-25.73085,34.525646,-0.048740935,-0.0044228123,0.07717182,27.575811,21.797821,13.291242,21.052458,0.0,0.0,0.0,0.0,0.0,0.0,1035.4905,1559.5977,-201.0,2056.348,1426.647,-201.0,2982.996,1416.9121,-201.0
