file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:02.920000,0 days 00:00:02.940000,0.9860101,-18.204268,21.21702,0.0464678,-0.04347095,0.32991526,29.853989,7.0177197,31.305994,-26.949112,33.83426,0.0073339567,0.50183636,9.740993,9.071708,31.330317,645.0877,1348.9521,-1.7028713,1942.4056,370.54898,-17.483057,3078.4824,546.04877,-23.961481
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:02.930000,0 days 00:00:02.950000,0.9801049,-18.305517,20.096903,0.050088555,-0.041880812,0.3033059,29.508995,8.577814,31.754114,-26.240936,33.879246,0.006713856,0.50447565,9.012712,9.449573,32.22395,666.5232,1329.5118,-3.1669443,1969.4701,318.0131,-17.677017,3143.6455,525.7181,-25.94132
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:02.940000,0 days 00:00:02.960000,0.97121984,-18.086946,19.927534,0.038712054,-0.04025982,0.26800504,29.553667,10.593211,33.271378,-25.288681,33.917515,0.007129339,0.32595584,7.430191,9.200089,32.72785,670.6518,1221.943,-5.1228046,1961.5924,253.51445,-21.962435,3074.6965,504.98624,-28.650568
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:02.950000,0 days 00:00:02.970000,0.9084725,-18.943117,20.846773,0.044422526,-0.040757943,0.28677318,29.486216,11.973102,31.233973,-24.186577,33.944443,0.0040669474,0.35317755,4.4456615,7.897863,31.719643,675.6131,1200.3326,-7.107598,1971.1699,256.45474,-24.782463,3073.329,523.4355,-30.92938
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:02.960000,0 days 00:00:02.980000,0.7992978,-19.896471,22.28614,0.033096697,-0.037493657,0.48844078,28.848337,16.999872,27.189764,-16.792463,33.949158,0.0042028776,0.2984072,2.7967377,6.9904327,31.239693,680.57117,1183.3523,-72.410126,1970.8488,319.41086,-83.35821,3024.9128,507.64127,-88.576294
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:02.970000,0 days 00:00:02.990000,0.6599519,-19.57778,23.115335,0.011017642,-0.032137047,0.6093459,22.504051,24.113342,18.109774,-5.4193788,0.0,0.0,0.0,0.0,0.0,0.0,592.7541,1260.5021,-136.96277,1869.6393,1293.0659,-141.76065,2673.3044,545.5463,-145.00867
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:02.980000,0 days 00:00:03,0.57830334,-16.78676,20.623253,-0.015930802,-0.028982885,0.58257395,13.1756315,34.21623,9.329283,1.4765385,0.0,0.0,0.0,0.0,0.0,0.0,491.7153,1181.2789,-201.0,1811.8263,1432.6982,-201.0,2468.0615,455.68546,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:02.990000,0 days 00:00:03.010000,0.552449,-13.189804,16.328268,-0.034630798,-0.027072111,0.34840813,3.3856266,40.96054,2.0831683,6.279736,0.0,0.0,0.0,0.0,0.0,0.0,397.79617,1026.409,-201.0,1699.8945,1351.088,-201.0,2352.2898,364.2086,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03,0 days 00:00:03.020000,0.56897914,-10.4461975,12.19506,-0.01829569,-0.023508994,0.20438205,-1.5947379,44.32344,-2.9741602,10.027585,0.0,0.0,0.0,0.0,0.0,0.0,376.17154,910.6939,-201.0,1642.641,478.54276,-201.0,2573.5,255.03627,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.010000,0 days 00:00:03.030000,0.57338077,-9.921885,11.547035,-0.02187262,-0.01675087,0.17391896,-4.105219,45.01947,-6.0801163,15.784157,0.0,0.0,0.0,0.0,0.0,0.0,372.82877,954.74805,-201.0,1564.9056,484.0646,-201.0,2631.9346,226.33623,-201.0
