file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.190000,0 days 00:00:00.210000,0.19088268,-26.274046,40.361515,-0.07128421,-0.010535136,0.0,0.0,0.0,0.0,0.0,0.0,902.94745,1260.5619,-201.0,1837.0575,-201.0,3013.7236,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.200000,0 days 00:00:00.220000,0.15210535,-26.758263,40.340126,-0.05341649,-0.009253473,0.0,0.0,0.0,0.0,0.0,0.0,866.0266,1384.9415,-201.0,1773.1537,-201.0,2942.1328,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.210000,0 days 00:00:00.230000,0.13711637,-25.209068,38.009857,-0.048922297,-0.004313639,0.0,0.0,0.0,0.0,0.0,0.0,724.2807,1529.097,-201.0,1668.5165,-201.0,2926.967,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.220000,0 days 00:00:00.240000,0.1351288,-25.761911,38.533794,-0.043712158,-0.006781217,0.0,0.0,0.0,0.0,0.0,0.0,539.10223,1419.4088,-201.0,1647.9795,-201.0,2752.2988,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.230000,0 days 00:00:00.250000,0.12734891,-28.284836,40.37813,-0.054270748,-0.006521577,0.0,0.0,0.0,0.0,0.0,0.0,706.1677,1472.2711,-201.0,1952.8541,-201.0,3185.1223,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.240000,0 days 00:00:00.260000,0.12414789,-29.394094,43.182602,-0.054959167,-0.0033009676,0.0,0.0,0.0,0.0,0.0,0.0,935.64575,1482.3776,-201.0,2070.021,-201.0,3185.6292,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.250000,0 days 00:00:00.270000,0.11519784,-25.995127,39.81427,-0.04797621,-0.0034414728,0.0,0.0,0.0,0.0,0.0,0.0,996.53925,1593.6266,-201.0,2042.7308,-201.0,3254.3665,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.260000,0 days 00:00:00.280000,0.11207595,-23.654573,37.558945,-0.03736956,-0.0072109066,0.0,0.0,0.0,0.0,0.0,0.0,789.40576,1726.5533,-201.0,1769.083,-201.0,2944.5964,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.270000,0 days 00:00:00.290000,0.10716143,-21.571634,32.86926,-0.026403988,-0.009407175,0.0,0.0,0.0,0.0,0.0,0.0,579.37836,1600.403,-201.0,1642.2661,-201.0,2751.8223,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.280000,0 days 00:00:00.300000,0.108539164,-23.857834,35.667454,-0.043146174,-0.004375558,0.0,0.0,0.0,0.0,0.0,0.0,677.0517,1503.5762,-201.0,1686.5465,-201.0,2799.765,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.290000,0 days 00:00:00.310000,0.10667426,-23.950432,36.264053,-0.048901454,0.0020376344,0.0,0.0,0.0,0.0,0.0,0.0,579.75635,1313.9711,-201.0,1553.8568,-201.0,2606.019,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.300000,0 days 00:00:00.320000,0.10979248,-26.85074,42.6102,-0.061790574,0.00180506,0.0,0.0,0.0,0.0,0.0,0.0,826.4243,1315.0944,-201.0,1884.2588,-201.0,3071.805,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.310000,0 days 00:00:00.330000,0.11224112,-26.249739,41.77064,-0.049793404,0.0038353328,0.0,0.0,0.0,0.0,0.0,0.0,637.97546,1308.6553,-201.0,1767.2026,-201.0,2931.3867,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.320000,0 days 00:00:00.340000,0.1327231,-26.14913,39.151157,-0.04640114,0.0011119422,0.0,0.0,0.0,0.0,0.0,0.0,951.6912,1193.6066,-201.0,2130.1897,-201.0,3327.1506,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.330000,0 days 00:00:00.350000,0.14283083,-24.347122,35.19342,-0.04369989,-0.0011363067,0.0,0.0,0.0,0.0,0.0,0.0,853.1827,1260.0818,-201.0,1930.2485,-201.0,3049.872,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.340000,0 days 00:00:00.360000,0.14844684,-23.512512,34.638454,-0.04298964,-0.00051678135,0.0,0.0,0.0,0.0,0.0,0.0,1022.45953,1376.5602,-201.0,2052.0154,-201.0,3243.1746,-201.0
sample_audio/wav/first_ten_Sample_HV_Clip.wav,0 days 00:00:00.350000,0 days 00:00:00.370000,0.1345979,-22.281057,33.59425,-0.034056336,-0.00017735774,0.0,0.0,0.0,0.0,0.0,0.0,664.73065,1609.4205,-201.0,1721.8878,-201.0,2936.7588,-201.0
